city,latitude,max temperature,humidity,cloudiness,wind speed
New Norfolk,-42.78,64.4,39,20,16.11
Xining,36.62,47.13,94,36,3.06
Faanui,-16.48,78.63,100,20,14.81
Cherskiy,68.75,37.68,72,76,4.85
Mago,53.27,59.73,57,0,5.75
Iqaluit,63.75,32.0,100,40,12.75
Tuktoyaktuk,69.44,30.2,74,75,17.22
Raudeberg,61.99,48.2,81,92,8.05
Sibu,2.29,84.2,79,75,1.12
Kruisfontein,-34.0,54.06,93,44,4.63
Lavrentiya,65.58,43.71,94,56,11.23
Sola,58.89,53.6,71,75,9.17
Ugoofaaru,5.67,81.96,100,76,13.24
Nouadhibou,20.93,84.2,45,12,12.75
Bethel,60.79,55.04,59,90,12.75
Hithadhoo,-0.6,81.33,100,80,16.82
Santa Rosa,-36.62,48.3,95,92,10.33
Nanortalik,60.14,39.3,95,92,9.66
Cayenne,4.94,78.8,88,20,3.36
Muros,42.77,62.6,77,0,5.82
Mar del Plata,-46.43,42.18,87,64,11.45
Nikolskoye,59.7,48.2,66,40,20.13
Ilulissat,69.22,33.8,59,56,13.87
Airai,-8.93,84.93,38,0,1.95
Lebu,8.96,51.8,87,20,3.36
Tuttlingen,47.98,44.6,100,20,2.51
Poum,41.28,31.65,66,0,2.17
Jadu,31.95,63.33,95,68,5.19
Wanning,48.64,37.4,93,0,3.36
Praia,-20.25,65.4,61,0,7.31
Ahipara,-35.17,58.38,76,76,11.45
Banjar,-7.37,84.03,49,0,4.18
Dunedin,-45.87,46.86,82,92,9.1
Dembi Dolo,8.53,59.73,84,24,2.84
Honiara,-9.43,86.0,70,40,5.82
Monte Alegre,-2.0,81.69,68,0,4.74
Nevelsk,46.67,59.0,54,40,2.24
Fort Saint James,54.43,52.98,68,80,4.52
Georgetown,6.8,78.8,94,0,4.7
Bagotville,-28.98,68.46,100,0,4.74
Salalah,17.01,73.4,73,20,2.24
Barrow,-38.31,45.69,78,88,8.66
Hasaki,35.73,64.4,88,75,13.87
Bluff,-23.58,85.74,33,0,4.74
Itambacuri,-18.04,70.08,75,0,11.01
Middle Island,40.88,73.94,93,90,9.17
Natal,-5.81,77.0,78,40,11.41
Yellowknife,62.45,30.2,54,90,16.11
Atuona,-9.8,79.26,100,0,9.78
Horodnytsya,50.81,48.75,63,88,19.51
Brzesko,49.97,48.2,66,75,8.05
Khandyga,62.65,48.39,70,64,4.97
Taltal,-25.41,51.36,87,0,1.5
Sao Felix do Xingu,-6.64,76.56,91,12,1.95
Ixtapa,20.71,84.2,83,90,0.94
Carnarvon,-30.97,34.62,70,0,3.06
Foundiougne,14.13,76.83,92,24,10.22
Catarman,12.5,85.29,92,44,22.08
Aklavik,68.22,30.2,74,40,4.7
Rauma,61.13,48.2,61,36,27.51
Ozernovskiy,51.5,49.11,84,76,14.7
Saldanha,41.42,55.95,89,24,2.17
Tevriz,57.51,52.89,72,0,6.31
Pierre,44.37,60.98,45,1,5.82
Vaini,15.34,75.48,95,56,3.06
Kulhudhuffushi,6.62,78.72,100,80,7.99
Ketchikan,55.34,55.04,96,90,5.82
Bunol,39.42,68.0,82,20,4.7
Karratha,-20.74,99.6,10,0,6.98
Punta Arenas,-53.16,33.8,80,0,8.05
Saltillo,25.42,68.0,56,40,9.17
Sitka,37.17,52.71,61,0,8.66
Naze,5.43,71.34,99,68,3.18
Castro,-42.48,45.15,96,92,6.42
Rogovskaya,45.73,42.09,91,0,7.65
Port Hardy,50.7,60.8,59,40,11.41
Kapaa,22.08,82.04,84,75,9.17
Kodar,16.98,77.55,96,56,4.52
Pudozh,61.81,45.69,97,100,17.38
Geraldton,49.72,41.0,93,75,6.93
Grindavik,63.84,39.2,93,40,8.05
Macheng,31.18,73.05,52,12,5.41
Sulangan,11.14,85.29,96,8,18.95
Ancud,-41.87,45.69,98,88,5.97
Victoria,5.28,89.6,79,75,3.36
Madimba,4.42,77.0,100,75,1.12
Khor,47.88,59.1,83,0,2.95
San Quintin,17.54,86.0,70,20,6.93
Oranjemund,-28.55,55.95,98,0,10.22
Blackwater,51.33,55.4,93,75,3.36
Cabo San Lucas,22.89,80.6,83,75,4.29
Benguela,-12.58,69.45,100,36,3.96
Boyolangu,-8.09,86.01,46,0,6.2
Constitucion,23.99,68.0,64,90,6.93
Kodinsk,58.6,44.79,85,92,6.2
Hilo,19.71,86.0,67,75,11.41
Shubarkuduk,49.15,54.78,59,48,5.53
Aljezur,37.31,73.41,84,8,13.58
Half Moon Bay,37.46,84.02,100,90,4.07
Noumea,-22.28,78.8,54,0,19.46
Zapolyarnyy,69.43,42.8,81,92,19.46
Lyskovo,56.03,37.05,80,76,15.93
Wahiawa,21.5,87.08,97,90,11.41
Ucluelet,48.94,55.68,88,0,1.61
Khatanga,71.98,32.46,84,56,20.4
Aksu,52.04,48.2,93,0,2.24
Singkang,2.1,86.0,74,75,4.7
Lerik,38.78,64.4,100,90,2.24
Ribeira Grande,38.52,75.03,95,68,23.64
Manoel Urbano,-8.84,81.6,65,0,3.62
Deputatskiy,69.3,27.78,81,76,4.07
Te Anau,-45.41,46.41,74,76,3.96
Upernavik,72.79,34.53,100,76,20.29
Buala,-8.15,79.89,99,88,14.92
Fairbanks,64.84,50.0,64,90,4.7
Laguna,27.52,87.8,29,5,4.7
Broome,52.47,53.6,93,0,3.36
Sept-Iles,50.2,53.6,100,90,10.0
San Patricio,-26.98,69.18,95,100,4.18
Gibara,21.11,78.8,88,20,4.7
Nemuro,43.32,57.2,76,75,5.82
Ostrovnoy,68.05,39.57,97,92,9.78
Jiangyou,31.78,66.39,81,76,4.63
Vila Velha,-3.71,80.6,74,40,16.11
Kiama,-34.67,68.0,42,0,9.17
Nemencine,54.85,50.0,87,90,16.11
Lensk,60.71,47.58,90,92,2.95
Esperance,10.24,78.8,94,20,3.74
Leh,34.16,13.29,71,0,1.5
Vasilyevskiy Mokh,57.01,47.31,94,92,28.23
Kalmunai,7.42,80.34,91,0,4.07
Aswan,24.09,80.6,39,0,9.17
Coquimbo,-29.95,55.4,87,90,2.24
Yarmouth,50.71,50.0,93,0,1.12
Daru,7.99,69.9,100,92,3.51
Souillac,45.6,59.0,76,0,8.05
Rafaela,-31.25,65.67,94,92,5.19
Port Blair,11.67,82.41,100,56,7.54
Ati,13.21,76.65,70,32,5.19
Flinders,-34.58,68.0,42,0,9.17
Luganville,-15.51,78.81,100,68,11.56
Sao Filipe,14.9,78.45,97,80,8.21
Grafenau,48.86,34.62,77,0,2.95
Nouakchott,18.08,83.31,89,32,12.8
Hokitika,-42.72,53.7,87,12,3.4
George Town,5.42,89.6,66,75,4.7
Englewood,39.65,62.6,8,1,3.36
Chokurdakh,70.62,36.87,95,92,16.71
Gunjur,13.18,75.2,94,75,2.24
Lastoursville,-0.81,73.68,95,92,2.39
Pevek,69.7,44.61,91,64,14.03
Nangwa,-4.5,61.53,88,80,12.68
Calvia,39.57,62.6,82,20,1.12
Somerset East,-32.72,39.57,78,0,2.62
Moerai,-22.43,71.88,100,80,7.99
Jiwani,25.05,78.36,95,48,3.74
Thompson,55.74,37.4,74,75,3.36
Hambantota,6.12,79.8,100,76,9.89
Sao Jose da Coroa Grande,-8.9,73.95,96,92,6.98
Malanje,-9.54,63.6,93,20,3.85
Longyearbyen,78.22,23.0,67,40,13.87
Sistranda,63.73,46.4,75,75,25.28
Qaanaaq,77.48,20.49,100,56,8.43
Bambous Virieux,-20.34,71.6,78,40,11.41
Khuzhir,53.19,40.74,100,0,11.56
Eureka,40.8,50.0,100,40,2.39
Saint-Augustin,44.83,62.6,59,0,9.17
Tiksi,71.64,33.81,92,0,10.67
Katsuura,33.93,69.8,83,75,5.82
Wuda,39.5,51.09,83,76,14.7
Leningradskiy,69.38,40.92,95,56,15.82
Namibe,-15.19,65.13,100,12,7.31
Benghazi,32.12,71.52,100,68,12.35
Zhigansk,66.77,43.17,97,80,3.62
Araouane,18.9,76.56,36,0,2.95
Maicao,11.38,83.22,79,8,13.91
Taoudenni,22.68,81.6,28,48,6.76
Fortuna,38.18,75.2,73,75,10.29
Altoona,40.52,64.04,78,40,9.17
Torbay,47.66,48.2,81,90,17.22
Ponta Delgada,37.73,73.4,83,40,18.34
Celestun,20.87,82.41,100,24,16.26
Mugur-Aksy,50.38,41.55,48,20,2.84
Argelia,4.73,68.0,88,40,3.36
Ponta do Sol,-20.63,76.65,41,92,7.65
Juazeiro,-9.43,82.4,48,0,14.99
Tabas,33.6,53.43,42,0,2.17
Tual,-5.67,81.06,97,48,14.92
Lingao,19.91,86.91,84,0,6.64
Wajid,3.81,71.88,84,8,10.22
Alyangula,-13.85,83.49,82,0,16.04
Coihaique,-45.58,48.2,98,0,9.17
Sao Joao da Barra,-21.64,74.85,97,0,30.91
Iralaya,15.0,79.98,98,44,3.96
Nabire,-3.36,74.04,99,80,2.39
Oktyabrskiy,55.61,41.0,86,75,17.9
Mahebourg,-20.41,71.6,78,40,11.41
Port Shepstone,-30.74,66.39,93,0,16.15
Tuatapere,-46.13,45.96,100,92,7.31
Lasa,34.92,69.8,82,20,8.05
Bara,10.41,69.45,97,68,8.99
Sinnamary,5.38,81.96,96,0,16.71
Fairview,40.81,75.02,87,90,9.17
Shimoda,34.7,64.4,88,75,17.22
Richards Bay,-28.77,65.76,87,64,2.84
Chicama,-7.84,62.6,88,40,10.29
Bisira,8.52,71.79,97,32,1.39
Jagraon,30.8,80.79,78,0,4.41
Luwuk,-0.95,81.87,82,56,7.87
Lazarev,52.23,59.01,71,0,7.43
Kodiak,39.95,53.06,77,1,3.36
Kango,0.19,73.5,99,92,1.95
Chamba,32.56,61.35,42,0,2.17
Henties Bay,-22.12,51.45,100,0,1.95
Lagoa,37.14,77.0,69,0,17.22
Klyuchi,52.25,60.45,79,0,4.52
Montepuez,-13.13,62.61,93,36,4.85
Port Hedland,-20.31,96.8,26,0,9.17
Konin,52.23,52.8,66,8,16.71
Broken Hill,-31.97,80.88,30,0,14.03
Hofn,64.25,40.92,100,12,8.66
Gimli,50.63,38.31,100,24,2.95
Paamiut,61.99,40.11,96,92,38.41
Redding,40.59,86.0,2,40,1.83
Mangan,27.5,49.02,65,12,1.72
Okhotsk,59.36,49.65,84,64,2.95
Utica,43.1,57.02,89,1,6.93
Micheweni,-4.97,74.67,100,92,10.78
Sur,22.57,84.57,88,0,2.51
Yar-Sale,66.83,48.48,93,0,19.51
Dhidhdhoo,6.88,78.72,100,80,7.99
Joue-les-Tours,47.35,53.6,66,0,3.36
Khudat,41.63,51.81,100,92,4.74
Tiznit,29.7,70.35,83,24,0.83
Roald,62.58,48.2,81,92,13.87
Tomatlan,19.93,74.31,96,68,2.39
Hammerfest,70.66,39.2,80,75,34.45
Baruun-Urt,46.68,52.89,99,92,17.83
Mount Gambier,-37.83,59.28,83,48,6.76
Bilibino,68.06,41.28,70,68,5.75
Punta Umbria,37.18,70.8,88,0,7.09
Luanda,-8.83,73.4,83,75,6.93
Pangnirtung,66.15,25.44,82,0,7.2
Los Llanos de Aridane,28.66,71.6,88,0,10.29
Brae,60.4,48.2,81,92,11.41
Coruripe,-10.12,77.1,98,88,12.35
Soyo,-6.13,72.06,93,88,4.97
Paita,-5.09,68.19,83,32,5.64
Saryagash,41.45,68.0,52,90,6.93
Frontera,18.53,77.0,83,40,6.93
Termez,37.23,69.8,54,0,6.93
Kalaleh,37.38,61.26,78,32,4.52
Murray Bridge,-35.12,59.01,90,32,11.01
Port Elizabeth,39.31,75.92,83,90,11.41
Bouar,5.94,63.69,91,20,2.62
Palmer,-34.85,59.0,62,75,9.17
Mustasaari,63.17,46.4,52,0,21.92
Jishou,28.26,63.51,97,80,6.98
Svetogorsk,61.11,44.6,75,75,16.11
Sivaki,52.63,64.95,51,0,5.08
Manokwari,-0.87,78.36,100,76,4.97
Ust-Tsilma,65.44,39.93,92,92,10.45
Flin Flon,54.77,39.57,100,64,3.96
Javanrud,34.8,44.7,61,0,1.83
San Andres,13.32,84.66,97,64,12.68
Cockburn Town,21.46,82.32,100,48,18.5
Gorokhovets,56.21,41.0,75,40,15.66
Guerrero Negro,27.97,70.98,78,0,8.99
Ulaangom,49.98,48.39,37,36,3.29
Kutum,14.2,72.69,53,80,5.41
Mackay,53.65,42.8,100,90,2.24
Kachiry,53.07,56.49,75,24,2.95
Agadir,30.42,80.6,39,0,11.41
Kirkwall,58.98,51.8,100,92,3.36
Alice Springs,-23.7,84.2,4,0,8.05
Stromness,42.87,60.98,76,20,3.36
Kibala,9.11,77.0,88,20,7.76
Mmabatho,-25.85,69.8,49,92,6.93
Semey,50.41,58.29,76,0,3.96
Nyurba,63.29,51.54,60,24,3.74
Atambua,-9.11,85.11,76,0,3.62
Salekhard,66.54,43.8,91,48,16.26
Jacareacanga,-6.22,75.66,95,12,2.06
Margate,-43.03,64.4,39,20,16.11
Dongsheng,29.72,72.87,85,20,6.53
Sao Jose da Laje,-9.01,71.6,88,75,2.24
Tazovskiy,67.47,53.97,89,92,14.92
Winnemucca,40.97,66.92,6,1,2.51
Morondava,-20.3,69.81,100,8,2.06
Komsomolskiy,67.55,41.37,100,92,12.46
Vila Franca do Campo,37.72,73.4,83,40,18.34
Olbia,40.92,51.8,93,0,3.36
Cidreira,-30.17,67.83,98,92,4.97
Lexington Park,38.26,75.92,100,40,6.98
Horlivka,48.31,32.28,87,0,4.74
Ola,59.58,59.0,62,0,2.24
Kamoke,31.97,77.0,83,0,4.18
Xacmaz,41.46,51.81,100,92,4.74
Pontal do Parana,-25.67,62.6,93,20,3.36
Omboue,-1.57,76.83,100,88,8.55
Zonguldak,41.25,55.05,98,44,10.0
Krasnoslobodsk,54.42,37.05,80,88,14.14
Tayu,35.06,68.0,82,75,6.93
Bud,62.91,48.2,81,92,16.11
Poronaysk,49.22,58.56,72,0,5.75
Mubi,10.27,66.57,95,20,2.95
Port Moresby,-9.47,84.2,62,40,19.46
Dori,14.03,78.63,62,12,6.2
Swift Current,50.29,46.4,87,90,14.99
Novaya Mayna,54.15,41.0,80,75,8.95
Winona,43.21,59.0,76,20,3.36
Aykhal,65.95,35.79,86,92,5.86
Huarmey,-10.07,56.58,82,0,3.18
Vuktyl,63.86,38.4,89,0,6.64
Tura,25.52,77.55,95,68,2.51
Saint George,39.45,60.8,41,75,14.99
Leshukonskoye,64.9,42.18,97,92,11.79
Kavieng,-2.57,86.55,97,48,11.79
Zhengjiatun,43.51,69.54,44,0,7.2
Catalao,-18.17,73.86,39,0,8.21
Tarancon,40.01,60.8,82,0,2.95
Chadan,51.29,46.32,58,24,6.08
Nisia Floresta,-6.09,77.0,78,40,11.41
Chutove,49.72,36.87,73,44,11.79
Acajutla,13.59,72.24,100,92,4.29
Shitanjing,39.23,53.34,43,56,10.22
Norman Wells,65.28,32.0,91,75,5.82
Samarai,-10.62,78.18,99,44,16.04
Praia da Vitoria,38.73,73.4,88,75,21.07
Kemptville,45.02,60.08,71,1,5.82
Tigzirt,36.57,54.51,99,0,1.95
Baykit,61.68,42.18,93,88,7.99
Key Largo,25.09,83.12,74,1,8.05
Necochea,-38.55,46.95,81,92,10.0
Mabaruma,8.2,79.53,98,92,2.73
Bubaque,11.28,79.35,100,68,15.03
Darhan,49.49,40.65,83,80,14.03
Senanga,-16.1,68.01,37,8,9.33
Harper,30.3,68.9,76,90,11.41
Pacific Grove,36.62,57.2,87,1,6.93
Sibolga,1.74,78.54,87,0,0.49
Puerto Asis,0.51,73.59,94,8,1.83
Vila do Maio,15.13,77.0,94,40,3.36
Baoying,33.24,76.56,77,0,8.66
Caxito,-22.65,74.58,70,20,8.21
Zlobin,45.29,48.2,66,0,2.24
Cibitoke,-2.89,67.47,53,80,3.4
Nantucket,41.28,73.4,94,90,13.87
Timaru,-44.39,52.08,78,56,2.84
Faya,18.39,66.2,31,0,5.64
Agadez,16.97,83.31,20,80,9.1
Trairi,-3.28,79.08,100,68,23.53
Donskoye,45.45,48.2,76,40,6.71
Mudigere,13.13,68.19,98,92,2.39
Rawson,-43.3,42.36,68,76,10.56
Whyalla,-33.04,62.6,59,0,12.75
Atherton,53.52,59.0,87,90,3.36
Lazaro Cardenas,28.39,69.8,88,90,3.36
Benjamin Constant,-4.38,78.8,88,75,2.24
Havre-Saint-Pierre,50.23,59.0,100,75,19.46
Stanger,-29.34,60.63,90,32,4.07
Sawakin,19.1,84.2,83,64,3.36
Bacolod,10.68,82.59,77,48,12.68
Makoshyne,51.46,44.16,76,88,21.07
Mount Isa,-20.73,91.4,15,20,12.75
Shiloh,38.56,60.98,79,1,6.76
Vanavara,60.35,43.71,84,56,7.65
Maryville,40.35,55.94,87,1,7.2
Nacala,-14.56,73.95,100,48,3.74
Tokur,53.13,53.43,55,48,4.41
Rock Sound,24.9,84.03,100,80,18.16
Otuzco,-7.9,62.6,88,40,10.29
Seymchan,62.93,38.13,76,92,3.96
Codrington,-28.95,71.88,71,0,3.62
Port Lincoln,-34.72,59.01,92,48,11.12
Matara,-13.74,41.01,75,20,1.95
Divnomorskoye,44.5,53.16,93,0,11.45
Carlisle,54.89,57.2,100,92,17.22
Skibbereen,51.55,51.8,100,75,4.7
Mandiana,10.62,69.63,97,64,2.73
Daye,30.1,72.15,86,36,5.41
Bandarbeyla,9.49,77.46,97,8,18.28
Bereda,43.27,64.4,82,8,2.17
Cody,44.53,53.06,44,1,2.62
Patacamaya,-17.23,35.88,54,0,5.3
Sooke,48.37,60.8,82,20,2.24
Kahului,20.89,87.98,70,40,11.41
Zhangjiakou,40.77,53.97,84,92,6.08
Avera,33.19,80.6,97,1,5.3
Mineiros,-17.57,79.62,51,92,3.96
Paratinga,-12.69,76.92,51,0,12.57
Ratnagiri,16.98,77.55,100,80,10.45
Whitianga,-36.83,58.65,100,76,11.45
Abu Samrah,35.3,57.75,91,0,3.74
Amapa,15.09,78.8,94,75,4.7
Xihe,34.02,47.58,94,92,5.64
Purranque,-40.91,48.2,93,90,9.17
Kampong Thum,12.71,87.45,81,24,3.85
Reforma,24.02,68.0,64,90,6.93
San Policarpo,12.18,86.28,82,12,18.61
San Joaquin,10.59,85.83,69,32,12.46
Qaqortoq,60.72,37.4,59,75,8.05
Goure,13.98,71.52,62,0,2.73
Ponta Pora,-22.54,71.88,89,32,5.75
Parrita,9.52,71.6,73,75,13.87
Cuauhtemoc,28.72,89.6,46,5,5.82
Ryotsu,38.08,62.6,93,75,3.36
Grand Gaube,-20.01,71.6,78,40,11.41
Ornskoldsvik,63.29,42.8,60,0,27.51
Atasu,48.68,50.01,82,0,11.01
Kailua,21.39,87.08,97,90,11.41
Lorut,40.94,48.57,81,92,2.17
Zhezkazgan,47.8,46.4,70,0,11.18
Kyabe,9.45,70.98,92,24,6.64
Mayo,63.59,50.0,43,20,5.82
Kolokani,13.58,71.79,81,0,4.41
Kavaratti,10.57,83.22,100,56,9.78
Botlikh,42.67,37.95,100,88,1.39
Nizhniy Kuranakh,58.84,56.31,58,0,7.76
Xiaoweizhai,26.23,58.65,94,100,4.97
Alenquer,-1.95,78.8,94,0,6.31
Iranshahr,27.21,75.2,47,0,4.7
Grobina,56.54,57.2,82,0,14.99
Yerbogachen,61.28,46.59,94,88,3.74
Boa Esperanca do Sul,-21.99,71.16,74,68,7.87
Cabuyaro,4.29,80.25,72,68,5.08
Kaseda,31.42,75.2,64,40,10.29
Santa Cruz,36.97,69.08,87,1,6.93
Islampur,26.26,78.63,99,64,6.42
Lorengau,-2.02,83.4,100,12,4.97
Tsogni,-2.79,75.66,100,88,9.78
Shizunai,42.33,60.36,80,92,8.66
Mandera,3.94,80.16,61,44,12.46
Walvis Bay,-22.95,48.2,87,0,5.82
Santa Fe,-31.62,67.74,88,92,11.79
Pisco,-13.71,64.4,77,90,14.99
Shingu,33.72,64.4,93,75,9.17
Narasannapeta,18.42,82.59,84,48,3.96
Mahesana,23.6,78.8,83,0,4.52
Darnah,32.77,74.49,100,76,10.78
Mon,26.73,79.26,89,32,3.62
Ocho Rios,18.41,84.2,74,20,5.82
Hovd,63.83,46.4,81,75,21.92
Vila,45.18,48.2,87,0,4.7
Auki,12.18,72.51,84,0,7.99
Axim,4.87,77.91,100,92,9.78
Kyshtovka,56.56,53.79,75,8,9.44
Bella Vista,-28.51,72.51,88,76,5.97
Ust-Charyshskaya Pristan,52.39,58.38,65,20,4.85
Kunming,25.04,68.0,77,40,4.47
Labuhan,-2.54,89.07,54,0,3.74
Obo,5.39,67.11,87,0,2.95
Algodones,35.38,66.92,55,1,10.29
Severo-Kurilsk,50.68,50.91,86,0,14.58
Namatanai,-3.66,84.84,94,80,14.36
Colesberg,-30.72,38.49,39,0,2.62
Punta Alta,-27.46,68.0,88,90,2.24
Roncesvalles,4.01,75.2,94,75,1.95
Mildura,-34.18,75.12,39,0,14.14
Tres Arroyos,-38.38,45.69,78,88,8.66
San Jose,15.79,81.15,88,76,3.85
Bossangoa,6.5,67.65,98,88,9.89
Grand Forks,47.91,48.56,100,1,5.82
Marabba,12.35,73.86,75,8,3.85
Isla Mujeres,21.23,82.4,88,75,3.36
Terrace,54.52,57.2,76,90,14.99
Cabimas,10.39,86.19,83,12,9.66
Faenza,44.29,48.2,66,0,8.05
Hua Hin,12.57,86.0,66,20,4.7
Klaksvik,62.23,44.6,93,92,2.24
San Cristobal,-0.39,53.6,81,40,8.05
Maceio,-9.67,71.6,88,75,2.24
Robat Karim,35.49,66.2,68,20,9.17
Erdaojiang,41.78,59.82,71,0,3.29
Sinegorye,62.09,35.97,77,88,1.95
Luderitz,-26.65,51.63,90,0,12.57
Marshall,39.39,60.08,90,1,3.4
Irbit,57.67,56.94,72,92,6.08
Maragogi,-9.01,73.95,96,92,6.98
Rohtak,28.9,77.0,94,0,3.36
Itarema,-2.92,76.65,84,0,15.14
Meadow Lake,54.13,45.33,67,80,9.1
Scarborough,54.28,59.0,93,0,8.05
Vardo,39.62,69.98,78,1,6.93
Hay River,60.82,37.4,51,75,11.41
Bahir Dar,11.59,50.73,82,0,2.95
Jardim,-21.48,70.35,89,12,5.64
Alghero,40.56,55.4,71,0,4.7
Yulara,-25.24,89.6,6,0,11.41
Santa catarina de Tepehuanes,25.34,54.87,99,68,2.39
La Rioja,-29.41,65.4,89,92,6.42
Dekar,-21.53,80.43,20,92,8.21
Arrifes,37.77,73.4,83,40,18.34
Guatire,10.47,73.05,91,64,2.17
Iwanai,42.97,60.36,100,92,2.84
Evanston,42.04,60.08,93,40,4.7
Suifenhe,44.39,61.53,65,0,2.95
